Observación	Modelo	Mejor Ajuste	Parámetro
Obser_4_5	L_P	419.623747134	Likelihood
Obser_4_6	L_P	3.78201443739	a
Obser_4_6	L_P	-0.296754622298	b
Obser_4_6	L_P	2.19767589477	c
Obser_4_6	L_P	8.57004878654	d
Obser_4_6	L_P	3.47494144515	e
Obser_4_6	L_P	661.682536939	Likelihood
Obser_4_7	L_P	10.4968014296	a
Obser_4_7	L_P	-4.40011098348	b
Obser_4_7	L_P	17.637044871	c
Obser_4_7	L_P	0.654243974735	d
Obser_4_7	L_P	4.71598129589	e
Obser_4_7	L_P	768.160584743	Likelihood
Obser_4_8	L_P	-0.656421149347	a
Obser_4_8	L_P	1.28834226261	b
Obser_4_8	L_P	17.7374784123	c
Obser_4_8	L_P	-1.59932752411	d
Obser_4_8	L_P	0.791083251304	e
Obser_4_8	L_P	482.694101118	Likelihood
Obser_4_9	L_G	15.1468673849	a
Obser_4_9	L_G	-1.53673122471	b
Obser_4_9	L_G	-0.0678985039938	c
Obser_4_9	L_G	3.20028688372	d
Obser_4_9	L_G	1144.0171	Likelihood
Obser_5_0	L_P	28.3813363897	a
Obser_5_0	L_P	-9.16276293988	b
Obser_5_0	L_P	5.61243584029	c
Obser_5_0	L_P	12.8149996337	d
Obser_5_0	L_P	0.339873096738	e
Obser_5_0	L_P	1826.09066809	Likelihood
Obser_5_1	L_P	-0.44427714366	a
Obser_5_1	L_P	-7.47493242802	b
Obser_5_1	L_P	7.60111131119	c
Obser_5_1	L_P	4.97479856303	d
Obser_5_1	L_P	3.63332630395	e
Obser_5_1	L_P	1156.55754814	Likelihood
Obser_5_2	L_P	-53.3571382702	a
Obser_5_2	L_P	-0.16475373094	b
Obser_5_2	L_P	11.5831979854	c
Obser_5_2	L_P	3.02177789097	d
Obser_5_2	L_P	-2.70638324418	e
Obser_5_2	L_P	1847.60878125	Likelihood
Obser_5_3	L_P	-40.3996216041	a
Obser_5_3	L_P	-3.04512098021	b
Obser_5_3	L_P	20.5715179607	c
Obser_5_3	L_P	0.786792066964	d
Obser_5_3	L_P	2.91920973044	e
Obser_5_3	L_P	1137.04511655	Likelihood
Obser_5_4	L_P	-35.6300049106	a
Obser_5_4	L_P	-1.24753798465	b
Obser_5_4	L_P	17.3440554737	c
Obser_5_4	L_P	0.862132163718	d
Obser_5_4	L_P	1.96427511245	e
Obser_5_4	L_P	1073.80181587	Likelihood
Obser_5_5	L_P	-25.6472953546	a
Obser_5_5	L_P	3.22994010586	b
Obser_5_5	L_P	4.29480767966	c
Obser_5_5	L_P	-13.5494025172	d
Obser_5_5	L_P	4.55986938306	e
Obser_5_5	L_P	634.138489063	Likelihood
Obser_5_6	L_P	-14.3688405012	a
